Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Website_Visits,Discount_Used,Membership,Total_Spending
1,58,Female,32000,21.0,1,18.0,No,Silver,4497.53
2,55,Female,72000,93.0,2,2.0,Yes,Silver,
3,twenty five,male,87000,99.0,14,15.0,NO,GOLD,
4,45,Male,61000,87.0,9,10.0,No,Gold,8207.59
5,34,FEMALE,,56.0,2,30.0,,Basic,5464.12
6,54,Male,42000,68.0,3,3.0,No,Gold,4632.76
7,58,female,64000,87.0,6,24.0,yes,Silver,8460.75
8,58,FEMALE,39000,38.0,18,16.0,No,basic,14432.87
9,,FEMALE,59000,,2,15.0,Yes,Gold,4607.58
10,38,FEMALE,45000,78.0,,-2.0,NO,,6977.89
11,34,male,113000,21.0,19,28.0,,basic,18991.37
12,21,Male,32000,42.0,5,11.0,NO,GOLD,5413.44
13,53,,19000,68.0,10,8.0,,Gold,8463.31
14,18,,110000,35.0,9,12.0,,Basic,11440.72
15,27,FEMALE,65000,49.0,6,1.0,,Gold,5141.74
16,33,FEMALE,25000,26.0,8,6.0,Yes,,7553.46
17,26,,102000,98.0,16,11.0,yes,GOLD,15545.83
18,30, M,109000,12.0,10,26.0,yes,basic,13318.57
19,55,female,88000,52.0,8,15.0,Yes,Basic,10394.65
20,22, M,83000,70.0,8,18.0,NO,Silver,9382.55
21,33,Male,118000,16.0,16,27.0,No,Basic,18151.56
22,,female,101000,34.0,,7.0,Yes,basic,10489.33
23,52,FEMALE,75000,80.0,5,28.0,No,Gold,8634.54
24,24,Female,24000,17.0,,1.0,Yes,Silver,7235.39
25,28,male,66000,81.0,1,25.0,yes,basic,5775.22
26,60,Female,109000,50.0,16,10.0,No,Gold,16539.9
27,21,Female,24000,18.0,19,,,GOLD,13326.51
28,56, M,26000,63.0,10,16.0,NO,Basic,8720.92
29,60,female,92000,95.0,19,21.0,yes,Silver,18608.86
30,59,FEMALE,56000,78.0,15,21.0,Yes,Basic,14520.78
31,31,Female,82000,100.0,9,9.0,yes,Basic,9486.87
32,37,female,96000,23.0,,1.0,,Gold,9028.61
33,53,female,37000,74.0,9,19.0,,Silver,9047.91
34,49,Male,50000,43.0,2,6.0,NO,Gold,2578.51
35,28,Male,112000,79.0,15,28.0,,Basic,16010.59
36,20,Male,65000,15.0,19,10.0,NO,Silver,15364.82
37,40,,44000,29.0,10,16.0,Yes,Gold,10103.72
38,33,female,38000,95.0,6,27.0,Yes,Silver,9488.77
39,33,,52000,54.0,6,7.0,NO,Basic,6489.66
40,37,Female,-5000,45.0,8,15.0,Yes,,6581.32
41,40,Male,100000,43.0,17,26.0,,Gold,16746.82
42,20,,31000,59.0,20,28.0,yes,,16997.83
43,54, M,42000,95.0,9,3.0,NO,Basic,8701.38
44,30,male,64000,74.0,14,5.0,yes,GOLD,12332.13
45,37,male,103000,58.0,14,21.0,NO,,15355.59
46,,,113000,84.0,6,20.0,NO,GOLD,9055.97
47,56,female,101000,31.0,11,30.0,NO,basic,13597.88
48,60,female,28000,15.0,10,22.0,Yes,Silver,9665.01
49,33,female,78000,61.0,20,5.0,NO,basic,16511.61
50,33,Female,36000,16.0,,1.0,Yes,basic,7102.13
51,53,female,49000,66.0,4,30.0,No,basic,7989.72
52,57,Female,45000,41.0,17,28.0,,basic,16569.77
53,58,FEMALE,53000,50.0,17,-2.0,No,Gold,11650.96
54,52,female,28000,52.0,5,10.0,No,basic,4596.73
55,52,FEMALE,77000,83.0,14,4.0,No,basic,13246.61
56,42,,79000,79.0,1,23.0,yes,basic,7114.94
57,56,FEMALE,46000,61.0,16,15.0,yes,basic,12679.66
58,28, M,77000,69.0,5,2.0,NO,GOLD,6576.2
59,29,FEMALE,24000,63.0,9,25.0,yes,Silver,9274.43
60,34,male,28000,15.0,16,2.0,,Basic,10958.13
61,19,Female,49000,37.0,7,2.0,,Silver,5607.93
62,47, M,107000,30.0,9,24.0,No,GOLD,13587.96
63,37,female,31000,35.0,19,2.0,yes,GOLD,14654.26
64,22,,93000,82.0,,16.0,Yes,,11198.8
65,20, M,62000,72.0,18,28.0,yes,Basic,
66,24,Female,73000,78.0,12,30.0,No,basic,14516.11
